Company Name,Ticker,Optionable,Div. Yield %,Sector,Last Close,Relative Price Change,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),Sales Growth F(0)/F(-1),5 Yr Historical Sales Growth,ROA (5 Yr Avg),Current ROA (TTM),ROI (5 Yr Avg),Inventory Turnover,Asset Utilization,Net Margin %
"Asbury Automotive Group, Inc.","ABG","YES","0","Retail-Wholesale","196.39","24.74","16.65","37.96","-1.09","2.11","6.23549","7.53","11.847","6.95109","2.15939","3.57"
"Astronics Corporation","ATRO","YES","0","Aerospace","18.43","28.87","-21.82","-322.58","-34.96",".68","4.9331","-2.93","6.2171","2.58069",".72687","-23.04"
"Asure Software Inc","ASUR","YES","0","Computer and Technology","7.92","3.91","-8.06","-154.37","-10.45","27.4","1.4945",".24","2.5011","55.40999",".17575","-24.9"
"At Home Group Inc.","HOME","YES","0","Retail-Wholesale","27.03","60.74","31.46","30.18","27.25","20.99","2.926","7.16","6.02339","3.18869",".71675","-8.62"
"Atkore Inc.","ATKR","YES","0","Industrial Products","72.58","65.62","37.16","37.91","-7.88","5.56","9.28069","13.16","12.25","5.82779","1.18799","11.08"
"Atlantic Power Corporation","AT","YES","0","Utilities","2.94","27.64","-4.23","269.58","-3.41","-11.14",".9007","5.14","1.2209","8.9986",".31826","28.49"
"AutoNation, Inc.","AN","YES","0","Retail-Wholesale","91.29","22.07","8.45","-15.2","-4.43","-.97","4.22949","6.4","9.8905","6.01359","2.06699","1.87"
"AutoZone, Inc.","AZO","YES","0","Retail-Wholesale","1431.85","10.01","16.03","15.48","6.48","4.55","14.63599","13.36","41.86","1.3681",".95551","13.98"
"Autoliv, Inc.","ALV","YES","0","Auto-Tires-Trucks","94.9","-4.57","-14.83","-59.5","-12.87","-6.89","6.69379","3.65","11.038","8.1545",".98842","2.51"
"Avid Technology, Inc.","AVID","YES","0","Computer and Technology","21.76","27.74","-23.75","45.57","-12.46","-7.27","8.5473","7.02","-1.58211","4.5102","1.2644","3.07"
"Axalta Coating Systems Ltd.","AXTA","YES","0","Basic Materials","30.38","-1.99","7.7","-51.16","-16.61","-.07","4.7957","4.62","6.21029","4.40479",".54857","3.25"
"Axcelis Technologies, Inc.","ACLS","YES","0","Computer and Technology","48.4","56","16.77","193.42","38.37","9.69","7.1363","7.81","9.66279","1.82169",".80216","10.53"
"Axon Enterprise, Inc","AXON","YES","0","Industrial Products","145.6","10","-21.27","-295.46","28.28","26.45","3.4144","-.4","5.96579","3.3556",".571","-.25"
"BJs Restaurants, Inc.","BJRI","YES","0","Retail-Wholesale","60.38","39.87","2.21","-227.96","-32.97",".11","4.32639","-4.64","6.65199","18.804",".71719","-7.44"
"Baozun Inc.","BZUN","YES","0","Computer and Technology","37.89","-1.46","60.04","56.41","29.76","26.56","5.73719","5.17","8.8758","3.65829","1.06029","4.87"
"Barnes & Noble Education, Inc","BNED","YES","0","Consumer Discretionary","8.38","63.42","10.63","-189.47","-9.02","-2.29","-3.8003","-6.61","-8.25431","2.4776","1.15079","-8.7"
"Bausch Health Cos Inc.","BHC","YES","0","Medical","31.24","39.58","-14.83","68.68","-6.67","-4.97","4.58129","4.53","6.17309","1.92719",".25477","-6.98"
"Beacon Roofing Supply, Inc.","BECN","YES","0","Retail-Wholesale","54.27","24.12","3.05","-739.04","-2.27","18.36","3.37459","3.36","4.34639","5.5018",".98917","-4.06"
"Beazer Homes USA, Inc.","BZH","YES","0","Construction","21.72","32.72","20.28","173.11","1.88","4.56","2.42479","3.27","2.72769","1.2113","1.03859","2.88"
"Bed Bath & Beyond Inc.","BBBY","YES","0","Retail-Wholesale","28.54","48.59","-35.79","71.92","-7.23","-3.89","5.15799","-1.65","8.29339","3.14159","1.2998","-2.32"
"Berry Global Group, Inc.","BERY","YES","0","Industrial Products","62.67","2.3","15.56","76.86","31.89","15.96","4.31199","4.33","5.53459","6.98299",".71223","5.34"
